name,count
2017,670382
2018,630486
2016,628662
2020,626399
2019,623372
2014,607408
2015,579464
2013,540205
2012,503382
2021,499194
2011,469031
2023,454231
2010,451620
2007,426192
2022,422484
2009,414713
2024,400860
2008,375184
2006,310168
2005,286149
2004,283719
2025,263977
2003,251868
2002,244147
2000,223658
2001,222949
1999,186473
1998,175384
1997,168246
1996,159929
1995,154176
1994,147168
1993,142722
1992,135859
1991,130910
1990,127155
1989,118984
1988,113590
1987,106377
1986,102056
1985,96634
1984,94732
1983,88844
1982,86405
1980,85459
1981,84466
1979,81995
1978,79435
1977,76800
1976,74997
1975,71259
1970,69725
1974,68248
1973,67186
1972,65157
1969,61798
1971,61670
1968,58044
1967,55202
1965,50796
1966,50740
1964,46986
1963,45098
1962,42750
1960,39214
1961,39039
1940,37377
1959,36488
1958,35274
1957,33809
1956,32086
1954,32063
1955,31599
1953,30085
1951,29360
1952,29084
1950,28560
1949,25956
1938,25246
1948,24775
1939,24610
1937,24291
1936,23971
1935,23308
1932,23290
1947,22938
1930,22898
1931,22630
1934,22566
1933,22360
1941,21435
1929,21429
1946,20753
1942,20631
1928,20051
1943,19264
1927,19241
1945,18752
1926,18711
1925,18693
1944,18539
1924,17564
1910,16952
1911,16625
1923,16360
1922,16346
1912,16230
1909,15871
1914,15648
1913,15439
1915,15410
1921,15064
1908,15056
1906,14832
1907,14812
1916,14710
1920,14609
1900,14348
1905,14228
1904,14212
1902,13964
1901,13878
1903,13602
1917,13595
1898,13384
1896,13138
1899,12815
1897,12797
1919,12465
1918,12265
1895,12042
1894,11989
1893,11473
1880,11177
1888,10909
1890,10810
1891,10688
1889,10642
1887,10216
1886,9857
1885,9651
1892,9265
1884,9150
1882,8689
1881,8510
1883,8460
1879,8195
1876,7966
1878,7614
1875,7612
1877,7291
1874,6919
1870,6887
1873,6847
1872,6585
1863,6207
1867,6190
1862,5843
1868,5795
1855,5496
1864,5490
1859,5421
1866,5298
1860,5270
1858,5258
1857,5255
1856,5153
1851,5141
1861,5117
1852,5079
1853,5051
1854,4939
1871,4897
1869,4760
1850,4721
1865,4667
1849,2227
1846,2030
1847,1993
1848,1920
1840,1693
1845,1686
1844,1654
1843,1541
1842,1538
1841,1512
1839,1449
1800,1305
1835,1302
1834,1283
1838,1214
1836,1201
1837,1185
1830,1172
1823,1163
1827,1160
1831,1055
1833,1043
1829,1040
1826,1037
