name,count
2020,453375
2018,429474
2017,429270
2019,426031
2016,416105
2021,391166
2015,387391
2014,373084
2023,359947
2013,357949
2022,345197
2012,334311
2011,311755
2010,291568
2024,286935
2009,268609
2007,243794
2008,236884
2006,195245
2025,185887
2005,181001
2004,167549
2003,153354
2002,149528
2001,125133
2000,123155
1999,101164
1998,95421
1997,89831
1996,84640
1995,80457
1994,74381
1993,70628
1992,68269
1991,64211
1990,62476
1989,56470
1988,52176
1987,49692
1986,45711
1985,43848
1984,42081
1983,41183
1982,39106
1981,37630
1980,37394
1979,36749
1978,34797
1976,32279
1977,32267
1975,30058
1974,28536
1970,27907
1973,27473
1972,26220
1971,25023
1969,24327
1968,22914
1967,20849
1966,20085
1965,18694
1964,17296
1963,17180
1962,15066
1960,14566
1961,14551
1959,13311
1957,12663
1958,12447
1955,11825
1956,11796
1954,11704
1953,11549
1951,11426
1952,11401
1950,10656
1949,9844
1948,9588
1947,8850
1939,8670
1940,8210
1938,8148
1941,8075
1946,8042
1937,7977
1936,7945
1942,7823
1935,7670
1932,7663
1933,7434
1945,7322
1934,7286
1930,7200
1931,7128
1943,6927
1929,6884
1928,6708
1944,6506
1927,6324
1926,6241
1925,5952
1924,5689
1922,5535
1923,5506
1920,5376
1915,5185
1921,5168
1917,5102
1918,5004
1916,4998
1919,4861
1914,4811
1913,4662
1912,4529
1909,4470
1910,4423
1908,4309
1911,4309
1907,4209
1906,3865
1905,3651
1904,3547
1903,3544
1902,3413
1901,3284
1896,3212
1900,3195
1898,2971
1899,2898
1897,2854
1895,2690
1894,2667
1893,2371
1892,2122
1891,2110
1890,2108
1888,2032
1887,1978
1889,1957
1885,1783
1886,1776
1884,1632
1880,1552
1883,1483
1881,1445
1876,1429
1882,1414
1879,1265
1878,1263
1862,1241
1875,1241
1873,1221
1856,1201
1860,1191
1877,1191
1874,1186
1859,1150
1853,1137
1872,1137
1870,1134
1863,1130
1854,1120
1861,1117
1855,1109
1857,1086
1871,1070
1858,1047
1864,1042
1867,1007
1865,949
1866,884
1868,884
1851,876
1869,859
1852,837
1850,794
1848,788
1849,728
1847,699
1846,582
1845,559
1842,514
1844,491
1841,438
1843,433
1840,418
1836,413
1839,406
1838,389
1837,386
1835,353
1833,316
1831,307
1832,304
1834,304
1830,297
1827,284
1800,229
1829,227
1828,205
