name,count
2020,114359
2017,107523
2018,107206
2016,106306
2019,106305
2021,98350
2015,96037
2023,94468
2013,93925
2014,92878
2022,91548
2012,86597
2011,82286
2024,82150
2010,79708
2009,74647
2008,65057
2007,64917
2006,55478
2005,51211
2004,48162
2025,47019
2003,44078
2002,42727
2001,36240
2000,34992
1999,28067
1998,26190
1997,25164
1996,24028
1995,22506
1994,21646
1993,20976
1992,20570
1991,19829
1990,19307
1989,17568
1988,15574
1987,14596
1986,13943
1985,12968
1984,12679
1983,12350
1982,11461
1981,11250
1980,10860
1979,10373
1978,10090
1977,9903
1976,9373
1975,9309
1970,9014
1974,8908
1973,8847
1972,8407
1969,8296
1971,8062
1968,7072
1967,6572
1966,6354
1965,6198
1964,5652
1963,5358
1962,4891
1961,4510
1960,4265
1959,4189
1958,3976
1957,3912
1956,3762
1954,3676
1955,3624
1953,3506
1952,3347
1951,3295
1950,3117
1949,2973
1948,2784
1947,2518
1937,2371
1938,2347
1936,2258
1940,2187
1931,2179
1941,2146
1932,2141
1939,2119
1930,2106
1933,2103
1946,2099
1935,2050
1942,2043
1929,2020
1934,2001
1945,1908
1927,1892
1943,1873
1925,1863
1928,1827
1924,1801
1944,1790
1926,1753
1909,1665
1910,1646
1912,1614
1911,1611
1922,1584
1923,1569
1908,1531
1913,1479
1907,1446
1914,1420
1906,1401
1921,1399
1915,1373
1916,1355
1904,1338
1903,1326
1900,1309
1901,1308
1902,1305
1920,1273
1905,1252
1898,1240
1917,1240
1889,1226
1897,1219
1894,1215
1893,1196
1895,1191
1899,1183
1896,1181
1891,1180
1880,1144
1919,1095
1888,1088
1890,1087
1885,1079
1892,1018
1918,1003
1884,1000
1886,974
1882,937
1887,929
1881,821
1883,782
1870,777
1609,772
1879,766
1873,726
1868,691
1872,653
1876,650
1874,631
1875,630
1867,607
1877,605
1852,585
1878,581
1859,551
1853,549
1857,533
1855,520
1856,513
1866,510
1851,501
1860,489
1854,475
1871,471
1850,466
1858,460
1869,459
1862,437
1864,436
1863,420
1861,404
1865,358
1847,150
1849,143
1840,125
1848,117
1595,107
1822,105
1834,104
1846,101
1845,100
1815,94
1843,93
1744,85
1800,84
1842,82
1765,79
1830,79
1826,77
1838,76
1839,76
1841,76
1835,74
1844,72
1823,71
