Publication Year,,
name,count,
2020,2377221,
2023,2318573,
2021,2232988,
2024,2197065,
2019,2136774,
2022,2111856,
2018,2048248,
2017,1968900,
2016,1941670,
2015,1894265,
2014,1810549,
2013,1744540,
2025,1730513,
2012,1671731,
2011,1559591,
2010,1453846,
2009,1376925,
2008,1297335,
2007,1193437,
2006,1123112,
2005,1013365,
2004,962602,
2003,886617,
2002,787402,
2000,745696,
2001,710122,
1998,626500,
1999,605478,
1997,575964,
1996,564882,
1995,518308,
1994,481557,
1993,466932,
1992,450740,
1990,448700,
1991,445586,
1989,425936,
1988,401025,
1987,385768,
1986,363126,
1985,347023,
1984,332697,
1983,318577,
1982,305532,
1981,297613,
1980,291196,
1979,270692,
1978,257089,
1977,241911,
1976,237355,
1975,229613,
1970,225054,
1974,220422,
1973,216934,
1972,214933,
1971,211548,
1969,205605,
1968,195378,
1967,183451,
1966,179367,
1965,161366,
1964,152317,
1963,144127,
1962,128934,
1961,125895,
1960,122890,
1959,116630,
1958,112908,
1957,111928,
1955,107072,
1956,106528,
1954,103609,
1953,103223,
1952,101856,
1951,97222,
1950,87786,
1949,69412,
1948,69122,
1947,60761,
1946,51491,
1938,40276,
1937,39586,
1935,39444,
1936,39059,
1939,38614,
1940,38333,
1933,38286,
1932,38122,
1934,37982,
1930,37696,
1928,37232,
1931,36948,
1929,36583,
1927,35430,
1941,35135,
1945,34603,
1942,34593,
1926,33161,
1943,32141,
1944,30527,
1925,29321,
1924,28049,
1923,26190,
1922,25581,
1921,23953,
1913,23539,
1912,21689,
1914,21537,
1920,20978,
1911,20789,
1910,20445,
1909,20179,
1908,19417,
1915,18904,
1904,18797,
1907,18709,
1919,18643,
1906,18415,
1905,18364,
1918,17934,
1903,17789,
1917,17444,
1916,17443,
1901,17225,
1902,17102,
1898,16815,
1900,16337,
1899,15791,
1897,15592,
1896,15239,
1895,14913,
1894,14190,
1893,13028,
1892,12773,
1890,12557,
1891,11683,
1888,11169,
1889,10942,
1887,10358,
1885,9113,
1886,9101,
1884,8594,
1883,8205,
1882,7575,
1880,7378,
1881,7363,
1879,7146,
1878,6533,
1876,6313,
1877,6309,
1875,6040,
1874,5456,
1872,5323,
1873,5289,
1871,5179,
1869,4954,
1870,4865,
1868,4562,
1857,4473,
1858,4385,
1867,4342,
1859,4239,
1860,4107,
1866,4074,
1856,4037,
1861,4037,
1862,3886,
1863,3809,
1855,3800,
1854,3736,
1864,3731,
1848,3661,
1849,3646,
1865,3591,
1853,3555,
1846,3467,
1850,3441,
1852,3365,
1847,3338,
1842,3303,
1845,3263,
1851,3203,
1844,3067,
1843,3011,
1841,2982,
1840,2432,
1839,2110,
1838,2071,
1837,2065,
1829,2004,
1828,1904,
1830,1879,
1836,1826,
1835,1814,
1831,1789,
1834,1746,
1832,1699,
1833,1651,
1827,1490,
1826,1311,
